Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
30	Oct 8, 2010	Oct 8, 2010	2010	2010	I Spit on Your Grave	Anchor Bay Entertainment	Horror	Remake	Live Action	Contemporary Fiction	$1,750,000	12	12	38	$32,440	$93,051	$99,415	$1,185,420	$1,278,471
31	Oct 1, 2010	Oct 1, 2010	2010	2010	Case 39	Paramount Vantage	Horror	Original Screenplay	Live Action	Fantasy	$27,000,000	2,211	2,212	7,219	$5,350,570	$13,261,851	$14,169,506	$15,511,976	$28,773,827
32	Oct 1, 2010	Oct 1, 2010	2010	2010	Chain Letter	New Films Cinema	Horror	Original Screenplay	Live Action	Contemporary Fiction	$3,000,000	406	406	406	$138,788	$205,842	$219,922	$816,611	$1,022,453
33	Sep 17, 2010	Sep 17, 2010	2010	2010	Devil	Universal	Horror	Original Screenplay	Live Action	Fantasy	$10,000,000	2,809	2,811	12,026	$12,289,375	$33,679,655	$35,984,728	$29,674,459	$63,354,114
34	Sep 10, 2010	Sep 10, 2010	2010	2010	Resident Evil: Afterlife	Sony Pictures	Horror	Based on Game	Live Action	Science Fiction	$57,500,000	3,203	3,209	12,764	$26,650,264	$60,128,566	$60,128,566	$235,745,624	$295,874,190
35	Aug 27, 2010	Aug 27, 2010	2010	2010	Circle	Indican Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$2,000,000	2	2	5	$3,326	$10,024	$10,706	$0	$10,024
36	Aug 27, 2010	Aug 27, 2010	2010	2010	The Last Exorcism	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,800,000	2,874	2,874	11,506	$20,366,613	$41,034,350	$43,842,778	$29,131,550	$70,165,900
37	Aug 20, 2010	Aug 20, 2010	2010	2010	Piranha 3D	Weinstein/Dimension	Horror	Remake	Live Action	Science Fiction	$24,000,000	2,470	2,491	8,117	$10,106,872	$25,003,155	$26,714,392	$58,657,005	$83,660,160
38	Jun 4, 2010	Jun 4, 2010	2010	2010	Splice	Warner Bros.	Horror	Original Screenplay	Animation/Live Action	Science Fiction	$30,000,000	2,450	2,450	6,698	$7,385,277	$17,010,170	$18,174,363	$9,847,289	$26,857,459
39	May 28, 2010	May 28, 2010	2010	2010	George A. Romero's Survival of the Dead	Magnolia Pictures	Horror		Live Action		$4,200,000	20	20	61	$43,757	$101,740	$108,696	$0	$101,740
40	Apr 30, 2010	Apr 30, 2010	2010	2010	A Nightmare on Elm Street	Warner Bros.	Horror	Remake	Live Action	Fantasy	$35,000,000	3,332	3,332	13,737	$32,902,299	$63,075,011	$67,391,932	$54,654,610	$117,729,621
41	Apr 9, 2010	Apr 9, 2010	2010	2010	After.Life		Horror	Original Screenplay	Live Action	Contemporary Fiction	$4,500,000	41	41	62	$59,946	$108,596	$116,022	$2,373,329	$2,481,925
42	Mar 23, 2010	Mar 23, 2010	2010	2010	Lake Mungo		Horror		Live Action		$1,100,000	0	0	0	$0	$0	$0	$0	$0
43	Feb 26, 2010	Feb 26, 2010	2010	2010	The Crazies	Overture Films	Horror	Remake	Live Action	Contemporary Fiction	$19,000,000	2,477	2,479	11,004	$16,067,552	$39,123,589	$41,801,251	$17,321,945	$56,445,534
44	Feb 12, 2010	Feb 12, 2010	2010	2010	The Wolfman	Universal	Horror	Remake	Live Action	Fantasy	$150,000,000	3,222	3,223	12,248	$31,479,235	$62,189,884	$66,446,229	$80,444,474	$142,634,358
45	Jan 8, 2010	Jan 8, 2010	2010	2010	Daybreakers	Lionsgate	Horror	Original Screenplay	Live Action	Science Fiction	$20,000,000	2,523	2,523	7,632	$15,146,692	$30,101,577	$32,161,757	$21,343,926	$51,445,503
46	Oct 30, 2009	Oct 30, 2009	2009	2009	The House of the Devil	Magnolia Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,000,000	3	7	43	$25,195	$101,215	$113,763	$1,597	$102,812
47	Oct 23, 2009	Oct 23, 2009	2009	2009	Saw VI	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$11,000,000	3,036	3,036	9,118	$14,118,444	$27,693,292	$31,127,261	$42,059,110	$69,752,402
48	Sep 25, 2009	Sep 25, 2009	2009	2009	Pandorum	Overture Films	Horror	Original Screenplay	Live Action	Science Fiction	$40,000,000	2,506	2,506	7,289	$4,424,126	$10,330,853	$11,611,878	$6,702,578	$17,033,431
49	Sep 25, 2009	Sep 25, 2009	2009	2009	Paranormal Activity	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	$450,000	12	2,712	14,399	$77,873	$107,918,810	$121,297,179	$86,264,224	$194,183,034
50	Sep 11, 2009	Sep 11, 2009	2009	2009	Sorority Row	Summit Entertainment	Horror	Remake	Live Action	Contemporary Fiction	$12,500,000	2,665	2,665	8,087	$5,059,802	$11,965,282	$13,448,969	$14,770,515	$26,735,797
51	Aug 28, 2009	Aug 28, 2009	2009	2009	Halloween 2	Weinstein/Dimension	Horror	Original Screenplay	Live Action	Fantasy	$15,000,000	3,025	3,088	11,964	$16,349,565	$33,392,973	$37,533,698	$5,119,877	$38,512,850
52	Aug 28, 2009	Aug 28, 2009	2009	2009	The Final Destination	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	$40,000,000	3,121	3,121	13,592	$27,408,309	$66,477,700	$74,720,932	$120,906,927	$187,384,627
53	Aug 14, 2009	Aug 14, 2009	2009	2009	Grace	Anchor Bay Entertainment	Horror	Original Screenplay	Live Action	Fantasy	$5,000,000	2	2	2	$6,174	$8,297	$9,324	$0	$8,297
54	Jul 31, 2009	Jul 31, 2009	2009	2009	The Collector	Freestyle Releasing	Horror	Original Screenplay	Live Action	Contemporary Fiction	$3,000,000	1,325	1,325	3,156	$3,576,296	$7,712,114	$8,668,409	$2,761,722	$10,473,836
55	Jul 14, 2009	Jul 14, 2009	2009	2009	[Rec]		Horror	Original Screenplay	Live Action	Fantasy	$2,100,000	0	0	0	$0	$0	$0	$23,266,821	$23,266,821
56	May 29, 2009	May 29, 2009	2009	2009	Drag Me To Hell	Universal	Horror	Original Screenplay	Live Action	Fantasy	$30,000,000	2,508	2,510	10,567	$15,825,480	$42,100,625	$47,321,097	$49,287,862	$91,388,487
57	Mar 13, 2009	Mar 13, 2009	2009	2009	The Last House on the Left	Universal	Horror	Remake	Live Action	Contemporary Fiction	$15,000,000	2,401	2,402	9,851	$14,118,685	$32,752,215	$36,813,490	$13,774,028	$46,526,243
58	Feb 13, 2009	Feb 13, 2009	2009	2009	Friday the 13th	Warner Bros.	Horror	Remake	Live Action	Fantasy	$17,000,000	3,105	3,105	12,220	$40,570,365	$65,002,019	$73,062,270	$27,668,218	$92,670,237
59	Jan 16, 2009	Jan 16, 2009	2009	2009	My Bloody Valentine	Lionsgate	Horror	Remake	Live Action	Contemporary Fiction	$14,000,000	2,534	2,534	8,202	$21,241,456	$51,545,952	$57,937,645	$51,290,050	$102,836,002
60	Jan 9, 2009	Jan 9, 2009	2009	2009	The Unborn	Universal	Horror	Original Screenplay	Live Action	Fantasy	$16,000,000	2,357	2,359	9,024	$19,810,585	$42,670,410	$47,961,541	$35,538,402	$78,208,812
61	Dec 31, 2008	Dec 31, 2008	2008	2008	Animals		Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$5,500,000	0	0	0	$0	$0	$0	$0	$0
62	Dec 31, 2008	Dec 31, 2008	2008	2008	The Cottage		Horror	Original Screenplay	Live Action	Contemporary Fiction	$5,000,000	0	0	0	$0	$0	$0	$1,504,960	$1,504,960
63	Oct 31, 2008	Oct 31, 2008	2008	2008	Eden Lake	Third Rail	Horror	Original Screenplay	Live Action	Contemporary Fiction	$2,000,000	10	10	10	$5,824	$7,321	$8,590	$4,287,052	$4,294,373
64	Oct 31, 2008	Oct 31, 2008	2008	2008	My Name is Bruce	Image Entertainment	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,500,000	1	4	17	$16,432	$173,066	$203,188	$0	$173,066
65	Oct 24, 2008	Oct 24, 2008	2008	2008	Saw V	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,800,000	3,060	3,084	11,961	$30,053,954	$56,746,769	$66,626,084	$61,463,009	$118,209,778
66	Oct 24, 2008	Oct 24, 2008	2008	2008	Låt den rätte komma in	Magnolia Pictures	Horror	Original Screenplay	Live Action	Fantasy	$4,500,000	4	53	678	$49,295	$2,122,085	$2,459,545	$10,125,597	$12,247,682
67	Oct 14, 2008	Oct 14, 2008	2008	2008	No Man's Land: The Rise of Reeker		Horror	Remake	Live Action	Contemporary Fiction	$2,000,000	0	0	0	$0	$0	$0	$0	$0
68	Oct 10, 2008	Oct 10, 2008	2008	2008	Quarantine	Sony Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$12,000,000	2,461	2,463	8,987	$14,211,321	$31,691,811	$37,209,185	$10,232,963	$41,924,774
69	Oct 7, 2008	Oct 7, 2008	2008	2008	Jack Brooks: Monster Slayer		Horror	Original Screenplay	Live Action	Fantasy	$2,150,000	0	0	0	$0	$0	$0	$0	$0
70	Aug 15, 2008	Aug 15, 2008	2008	2008	Mirrors	20th Century Fox	Horror	Remake	Live Action	Contemporary Fiction	$35,000,000	2,664	2,664	11,193	$11,161,074	$30,691,439	$36,034,659	$46,529,157	$77,220,596
71	Apr 25, 2008	Apr 25, 2008	2008	2008	Rogue	Weinstein Co.	Horror	Original Screenplay	Live Action	Contemporary Fiction	$23,000,000	10	10	10	$7,711	$10,452	$12,266	$4,662,925	$4,673,377
72	Apr 15, 2008	Apr 15, 2008	2008	2008	à L'Intérieur		Horror		Live Action	Contemporary Fiction	$3,000,000	0	0	0	$0	$0	$0	$895,932	$895,932
73	Apr 11, 2008	Apr 11, 2008	2008	2008	Prom Night	Sony Pictures	Horror	Remake	Live Action	Contemporary Fiction	$18,000,000	2,700	2,821	12,974	$20,804,941	$43,869,350	$51,506,769	$13,324,305	$57,193,655
74	Apr 8, 2008	Apr 8, 2008	2008	2008	Day of the Dead		Horror	Remake	Live Action	Fantasy	$18,000,000	0	0	0	$0	$0	$0	$0	$0
75	Apr 4, 2008	Apr 4, 2008	2008	2008	The Ruins	Paramount Pictures	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	$25,000,000	2,812	2,814	8,969	$8,003,421	$17,432,844	$20,467,812	$5,477,719	$22,910,563
76	Mar 21, 2008	Mar 21, 2008	2008	2008	Shutter	20th Century Fox	Horror	Remake	Live Action	Contemporary Fiction	$8,000,000	2,753	2,756	10,090	$10,447,559	$25,928,550	$30,442,576	$21,853,876	$47,782,426
77	Feb 22, 2008	Feb 22, 2008	2008	2008	The Signal	Magnolia Pictures	Horror	Original Screenplay	Live Action	Science Fiction	$50,000	160	160	207	$144,836	$251,150	$294,873	$155,149	$406,299
78	Feb 15, 2008	Feb 15, 2008	2008	2008	Diary of the Dead	Weinstein Co.	Horror	Original Screenplay	Live Action	Fantasy	$2,750,000	42	48	450	$232,576	$952,620	$1,118,459	$4,441,827	$5,394,447
79	Jan 8, 2008	Jan 8, 2008	2008	2008	White Noise 2: The Light		Horror	Original Screenplay	Live Action	Fantasy	$10,000,000	0	0	0	$0	$0	$0	$8,243,567	$8,243,567
80	Jan 4, 2008	Jan 4, 2008	2008	2008	One Missed Call	Warner Bros.	Horror	Remake	Live Action	Fantasy	$20,000,000	2,240	2,240	8,039	$12,511,473	$26,890,041	$31,571,454	$17,623,425	$44,513,466
1	Dec 31, 2007	Dec 31, 2007	2007	2007	Tin Can Man		Horror	Original Screenplay	Live Action	Contemporary Fiction	$12,000	0	0	0	$0	$0	$0	$0	$0
2	Dec 28, 2007	Dec 28, 2007	2007	2007	El orfanato	Picturehouse	Horror	Original Screenplay	Live Action	Contemporary Fiction	$4,000,000	19	707	2,243	$233,323	$7,159,147	$8,452,491	$72,091,046	$79,250,193
3	Dec 14, 2007	Dec 14, 2007	2007	2007	I am Legend	Warner Bros.	Horror	Based on Fiction Book/Short Story	Live Action	Science Fiction	$150,000,000	3,606	3,648	24,705	$77,211,321	$256,393,010	$311,582,688	$329,139,674	$585,532,684
4	Dec 7, 2007	Dec 7, 2007	2007	2007	Timber Falls	Slowhand Cinema	Horror	Original Screenplay	Live Action	Contemporary Fiction	$2,600,000	0	0	0	$0	$0	$0	$71,248	$71,248
5	Nov 21, 2007	Nov 21, 2007	2007	2007	The Mist	MGM	Horror	Based on Fiction Book/Short Story	Live Action	Science Fiction	$13,000,000	2,423	2,423	9,121	$8,931,973	$25,593,755	$31,346,576	$31,595,653	$57,189,408
6	Oct 26, 2007	Oct 26, 2007	2007	2007	Saw IV	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,000,000	3,183	3,183	12,388	$31,756,764	$63,300,095	$77,561,016	$72,459,599	$135,759,694
7	Oct 19, 2007	Oct 19, 2007	2007	2007	30 Days of Night	Sony Pictures	Horror	Based on Comic/Graphic Novel	Live Action	Fantasy	$30,000,000	2,855	2,859	11,168	$15,951,902	$39,568,996	$48,483,518	$40,707,160	$80,276,156
8	Sep 7, 2007	Sep 7, 2007	2007	2007	Hatchet	Anchor Bay Entertainment	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,500,000	82	82	82	$9,152	$175,281	$214,763	$65,115	$240,396
9	Aug 31, 2007	Aug 31, 2007	2007	2007	Halloween	MGM	Horror	Original Screenplay	Live Action	Fantasy	$15,000,000	3,472	3,475	15,513	$26,362,367	$58,269,151	$71,396,646	$19,245,250	$77,514,401
10	Jun 22, 2007	Jun 22, 2007	2007	2007	1408	MGM	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	$22,500,000	2,678	2,733	14,140	$20,617,667	$71,985,628	$88,203,318	$59,277,742	$131,263,370
11	Jun 15, 2007	Jun 15, 2007	2007	2007	Fido	Lionsgate	Horror	Original Screenplay	Live Action	Fantasy	$8,000,000	2	4	8	$10,203	$298,110	$365,263	$158,704	$456,814
12	Jun 8, 2007	Jun 8, 2007	2007	2007	Hostel: Part II	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$7,500,000	2,350	2,350	5,929	$8,203,391	$17,544,812	$21,497,495	$16,061,597	$33,606,409
13	May 11, 2007	May 11, 2007	2007	2007	28 Weeks Later	20th Century Fox	Horror	Original Screenplay	Live Action	Science Fiction	$15,000,000	2,303	2,305	8,938	$9,807,292	$28,638,916	$35,090,996	$35,593,798	$64,232,714
14	Apr 6, 2007	Apr 6, 2007	2007	2007	Grindhouse	Weinstein/Dimension	Horror	Original Screenplay	Live Action	Fantasy	$53,000,000	2,624	2,629	8,024	$11,596,613	$25,031,037	$30,670,296	$25,156,752	$50,187,789
15	Apr 5, 2007	Apr 5, 2007	2007	2007	The Reaping	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	$40,000,000	2,603	2,603	9,105	$10,025,203	$25,126,214	$30,786,908	$37,100,000	$62,226,214
16	Mar 23, 2007	Mar 23, 2007	2007	2007	The Hills Have Eyes II	20th Century Fox	Horror	Remake	Live Action	Fantasy	$15,000,000	2,447	2,465	7,174	$9,686,362	$20,804,166	$25,491,148	$16,662,372	$37,466,538
17	Mar 13, 2007	Mar 13, 2007	2007	2007	Sublime		Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,800,000	0	0	0	$0	$0	$0	$0	$0
18	Feb 2, 2007	Feb 2, 2007	2007	2007	The Messengers	Sony Pictures	Horror	Original Screenplay	Live Action	Fantasy	$16,000,000	2,528	2,529	10,156	$14,713,321	$35,374,833	$43,344,447	$18,400,000	$53,774,833
19	Jan 26, 2007	Jan 26, 2007	2007	2007	Blood and Chocolate	MGM	Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$15,000,000	1,200	1,200	3,105	$2,074,300	$3,526,588	$4,321,092	$3,024,722	$6,551,310
20	Dec 29, 2006	Dec 29, 2006	2006	2006	El Laberinto del Fauno	Picturehouse	Horror	Original Screenplay	Live Action	Historical Fiction	$16,000,000	17	1,143	7,784	$568,641	$37,634,615	$46,148,442	$49,406,954	$87,041,569
21	Dec 5, 2006	Dec 5, 2006	2006	2006	Black Christmas	MGM	Horror	Remake	Live Action	Contemporary Fiction	$9,000,000	1,544	1,544	3,753	$3,723,364	$16,235,738	$20,567,472	$0	$16,235,738
22	Oct 27, 2006	Oct 27, 2006	2006	2006	Saw III	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,000,000	3,167	3,167	13,310	$33,610,391	$80,238,724	$103,269,068	$83,638,091	$163,876,815
23	Oct 13, 2006	Oct 13, 2006	2006	2006	The Grudge 2	Sony Pictures	Horror	Remake	Live Action	Contemporary Fiction	$20,000,000	3,211	3,214	11,578	$20,825,300	$39,143,839	$50,379,012	$31,600,000	$70,743,839
24	Oct 6, 2006	Oct 6, 2006	2006	2006	The Texas Chainsaw Massacre: The Begi…	New Line	Horror	Remake	Live Action	Historical Fiction	$16,000,000	2,820	2,820	11,268	$18,508,228	$39,517,763	$50,860,264	$11,000,000	$50,517,763
25	Sep 22, 2006	Sep 22, 2006	2006	2006	Feast	Weinstein/Dimension	Horror	Original Screenplay	Live Action	Fantasy	$3,200,000	146	146	146	$54,556	$56,131	$72,237	$634,741	$690,872
26	Aug 11, 2006	Aug 11, 2006	2006	2006	Pulse	Weinstein/Dimension	Horror	Remake	Live Action	Contemporary Fiction	$20,500,000	2,323	2,323	7,964	$8,203,822	$20,264,436	$26,080,793	$9,976,999	$30,241,435
27	Jun 6, 2006	Jun 6, 2006	2006	2006	The Omen	20th Century Fox	Horror	Remake	Live Action	Contemporary Fiction	$25,000,000	2,723	2,723	9,056	$16,026,496	$54,607,383	$70,280,952	$64,688,201	$119,295,584
28	May 19, 2006	May 19, 2006	2006	2006	See No Evil	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$8,000,000	1,257	1,270	5,210	$4,581,233	$15,032,800	$19,347,550	$3,795,236	$18,828,036
29	May 12, 2006	May 12, 2006	2006	2006	Dead Man's Shoes	Magnolia Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,125,000	1	2	5	$1,825	$6,408	$8,245	$408,328	$414,736
30	May 5, 2006	May 5, 2006	2006	2006	An American Haunting	Freestyle Releasing	Horror	Based on Fiction Book/Short Story	Live Action	Historical Fiction	$14,000,000	1,680	1,703	6,544	$5,783,508	$16,298,046	$20,975,956	$14,145,231	$30,443,277
31	Apr 21, 2006	Apr 21, 2006	2006	2006	Silent Hill	Sony Pictures	Horror	Based on Game	Live Action	Contemporary Fiction	$50,000,000	2,926	2,932	11,901	$20,152,598	$46,982,632	$60,467,716	$47,721,595	$94,704,227
32	Apr 14, 2006	Apr 14, 2006	2006	2006	Hard Candy	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$950,000	2	152	445	$58,049	$1,024,640	$1,318,730	$7,242,426	$8,267,066
33	Mar 31, 2006	Mar 31, 2006	2006	2006	Slither	Universal	Horror	Original Screenplay	Live Action	Science Fiction	$15,250,000	1,945	1,946	4,548	$3,880,270	$7,802,450	$10,041,926	$5,127,893	$12,930,343
34	Mar 24, 2006	Mar 24, 2006	2006	2006	Stay Alive	Walt Disney	Horror	Original Screenplay	Live Action	Contemporary Fiction	$20,000,000	2,009	2,009	7,788	$10,726,406	$23,086,480	$29,712,825	$101,026	$23,187,506
35	Mar 10, 2006	Mar 10, 2006	2006	2006	The Hills Have Eyes	Fox Searchlight	Horror	Remake	Live Action	Contemporary Fiction	$17,000,000	2,620	2,621	11,328	$15,708,512	$41,778,863	$53,770,350	$28,576,950	$70,355,813
36	Feb 10, 2006	Feb 10, 2006	2006	2006	Final Destination 3	New Line	Horror	Original Screenplay	Live Action	Fantasy	$25,000,000	2,880	2,880	13,502	$19,173,094	$54,098,051	$69,625,427	$58,700,000	$112,798,051
37	Feb 3, 2006	Feb 3, 2006	2006	2006	When a Stranger Calls	Sony Pictures	Horror	Remake	Live Action	Contemporary Fiction	$15,000,000	2,999	3,004	12,408	$21,607,203	$47,860,214	$61,597,184	$19,355,221	$67,215,435
38	Jan 6, 2006	Jan 6, 2006	2006	2006	Hostel	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$4,800,000	2,195	2,337	8,784	$19,556,099	$47,326,473	$60,910,248	$34,914,637	$82,241,110
39	Dec 31, 2005	Dec 31, 2005	2005	2005	The Call of Cthulhu		Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$50,000	0	0	0	$0	$0	$0	$0	$0
40	Dec 25, 2005	Dec 25, 2005	2005	2005	Wolf Creek	Weinstein Co.	Horror	Based on Real Life Events	Live Action	Dramatization	$1,100,000	1,749	1,761	5,706	$2,805,754	$16,186,348	$21,173,909	$12,818,716	$29,005,064
41	Oct 28, 2005	Oct 28, 2005	2005	2005	Saw II	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$5,000,000	2,949	2,949	14,278	$31,725,652	$87,025,093	$114,449,221	$65,900,000	$152,925,093
42	Oct 21, 2005	Oct 21, 2005	2005	2005	Doom	Universal	Horror	Based on Game	Live Action	Science Fiction	$70,000,000	3,043	3,044	9,062	$15,488,870	$28,212,337	$37,102,959	$26,400,000	$54,612,337
43	Oct 14, 2005	Oct 14, 2005	2005	2005	The Fog	Sony Pictures	Horror	Remake	Live Action	Contemporary Fiction	$18,000,000	2,972	2,972	11,240	$11,752,917	$29,511,112	$38,811,020	$7,537,414	$37,048,526
44	Oct 13, 2005	Oct 13, 2005	2005	2005	The Dark Hours	Freestyle Releasing	Horror		Live Action		$400,000	1	1	1	$338	$423	$548	$0	$423
45	Sep 16, 2005	Sep 16, 2005	2005	2005	Venom	Miramax/Dimension	Horror	Original Screenplay	Live Action	Contemporary Fiction	$25,000,000	489	489	991	$519,489	$881,745	$1,159,606	$0	$881,745
46	Sep 9, 2005	Sep 9, 2005	2005	2005	The Exorcism of Emily Rose	Sony Pictures	Horror	Based on Real Life Events	Live Action	Dramatization	$18,000,000	2,981	3,045	15,899	$30,054,300	$75,072,454	$98,730,230	$69,456,624	$144,529,078
47	Aug 26, 2005	Aug 26, 2005	2005	2005	The Cave	Sony Pictures	Horror	Original Screenplay	Live Action	Science Fiction	$30,000,000	2,195	2,195	7,478	$6,147,294	$15,007,991	$19,737,496	$12,140,000	$27,147,991
48	Aug 12, 2005	Aug 12, 2005	2005	2005	The Skeleton Key	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	$40,000,000	2,771	2,784	14,522	$16,057,945	$47,907,715	$63,004,994	$44,349,203	$92,256,918
49	Jul 22, 2005	Jul 22, 2005	2005	2005	The Devil's Rejects	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$7,000,000	1,757	1,757	5,345	$7,067,335	$17,044,981	$22,416,407	$3,895,447	$20,940,428
50	Jul 1, 2005	Jul 1, 2005	2005	2005	Undead	Lionsgate	Horror	Original Screenplay	Live Action		$750,000	2	13	15	$8,527	$41,196	$54,171	$188,054	$229,250
51	Jun 24, 2005	Jun 24, 2005	2005	2005	George A. Romero's Land of the Dead	Universal	Horror	Original Screenplay	Live Action	Science Fiction	$18,975,000	2,249	2,253	6,369	$10,221,705	$20,700,082	$27,223,345	$27,050,933	$47,751,015
52	Jun 10, 2005	Jun 10, 2005	2005	2005	High Tension	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$2,850,000	1,323	1,323	2,687	$1,897,705	$3,681,066	$4,841,088	$2,754,196	$6,435,262
53	May 6, 2005	May 6, 2005	2005	2005	House of Wax	Warner Bros.	Horror	Remake	Live Action	Contemporary Fiction	$35,000,000	3,111	3,111	12,240	$12,077,236	$32,064,800	$42,169,456	$38,000,000	$70,064,800
54	Apr 15, 2005	Apr 15, 2005	2005	2005	The Amityville Horror	Filmways Pictures	Horror	Remake	Live Action	Historical Fiction	$18,500,000	3,323	3,323	14,605	$23,507,007	$65,233,369	$85,790,525	$43,942,304	$109,175,673
55	Mar 18, 2005	Mar 18, 2005	2005	2005	The Ring Two	Dreamworks SKG	Horror	Remake	Live Action	Contemporary Fiction	$50,000,000	3,332	3,341	15,856	$35,065,237	$75,941,727	$99,873,439	$86,000,000	$161,941,727
56	Feb 25, 2005	Feb 25, 2005	2005	2005	Cursed	Miramax/Dimension	Horror	Original Screenplay	Live Action	Fantasy	$35,000,000	2,805	2,805	8,765	$9,633,085	$19,294,901	$25,375,345	$5,820,000	$25,114,901
57	Feb 4, 2005	Feb 4, 2005	2005	2005	Boogeyman	Sony Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$20,000,000	3,052	3,052	12,171	$19,020,655	$46,752,382	$61,485,579	$20,440,477	$67,192,859
58	Jan 28, 2005	Jan 28, 2005	2005	2005	Alone in the Dark	Lionsgate	Horror	Based on Game	Live Action	Fantasy	$20,000,000	2,124	2,124	4,457	$2,834,421	$5,178,569	$6,810,504	$3,000,000	$8,178,569
59	Dec 25, 2004	Dec 25, 2004	2004	2004	Darkness	Miramax/Dimension	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,600,000	1,700	1,720	7,119	$6,163,306	$22,163,442	$29,852,088	$12,245,764	$34,409,206
60	Dec 10, 2004	Dec 10, 2004	2004	2004	Fabled	Indican Pictures	Horror	Original Screenplay	Live Action		$400,000	3	3	11	$9,642	$31,425	$42,091	$0	$31,425
61	Nov 12, 2004	Nov 12, 2004	2004	2004	Seed of Chucky	Focus/Rogue Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$29,000,000	2,059	2,062	6,575	$8,774,520	$17,016,190	$23,099,271	$7,700,000	$24,716,190
62	Oct 29, 2004	Oct 29, 2004	2004	2004	Saw	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,200,000	2,315	2,467	13,727	$18,276,468	$55,968,727	$75,711,339	$47,911,300	$103,880,027
63	Oct 22, 2004	Oct 22, 2004	2004	2004	The Grudge	Sony Pictures	Horror	Remake	Live Action	Fantasy	$10,000,000	3,245	3,348	18,639	$39,128,715	$110,359,362	$149,811,494	$76,921,753	$187,281,115
64	Sep 10, 2004	Sep 10, 2004	2004	2004	Malevolence	Painted Zebra Releasing	Horror	Original Screenplay	Live Action		$200,000	0	10	83	$0	$126,021	$169,165	$220,085	$346,106
65	Sep 10, 2004	Sep 10, 2004	2004	2004	Resident Evil: Apocalypse	Sony Pictures	Horror	Based on Game	Live Action	Science Fiction	$50,000,000	3,284	3,284	13,960	$23,036,273	$50,740,078	$68,879,035	$74,428,656	$125,168,734
66	Aug 27, 2004	Aug 27, 2004	2004	2004	Anacondas: The Hunt for the Blood Orchid	Sony Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$25,000,000	2,905	2,905	11,700	$12,812,287	$31,526,393	$42,796,691	$38,800,000	$70,326,393
67	Aug 20, 2004	Aug 20, 2004	2004	2004	Exorcist: The Beginning	Warner Bros.	Horror	Based on Fiction Book/Short Story	Live Action	Historical Fiction	$78,000,000	2,803	2,813	11,395	$18,054,001	$41,814,863	$56,763,169	$2,142,678	$43,957,541
68	Aug 13, 2004	Aug 13, 2004	2004	2004	AVP: Alien Vs. Predator	20th Century Fox	Horror	Spin-Off	Live Action	Science Fiction	$70,000,000	3,395	3,401	14,754	$38,291,056	$80,281,096	$108,980,612	$92,262,423	$172,543,519
69	Mar 19, 2004	Mar 19, 2004	2004	2004	Dawn of the Dead	Universal	Horror	Remake	Live Action	Science Fiction	$28,000,000	2,745	2,748	11,427	$26,722,575	$58,990,765	$80,079,251	$44,462,110	$103,452,875
