Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
28	Sep 25, 2015	Sep 24, 2015	2015	2015	The Green Inferno	High Top Releasing	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,000,000	1,540	1,543	3,806	$3,520,626	$7,192,291	$7,192,291	$5,739,278	$12,931,569
29	Sep 1, 2015	Aug 14, 2015	2015	2015	Backmask		Horror	Original Screenplay	Live Action	Fantasy	$25,000	0	0	0	$0	$0	$0	$428,923	$428,923
30	Sep 1, 2015	Sep 1, 2015	2015	2015	Run, Hide, Die		Horror	Original Screenplay	Live Action	Contemporary Fiction	$50,000	0	0	0	$0	$0	$0	$0	$0
31	Aug 21, 2015	Aug 21, 2015	2015	2015	The Curse of Downers Grove	Anchor Bay Entertainment	Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	$2,000,000	0	0	0	$0	$0	$0	$0	$0
32	Aug 21, 2015	Aug 19, 2015	2015	2015	Sinister 2	Focus Features	Horror	Original Screenplay	Live Action	Fantasy	$10,000,000	2,766	2,799	11,437	$10,542,116	$27,740,955	$27,740,955	$26,363,270	$54,104,225
33	Jul 24, 2015	Jul 23, 2015	2015	2015	The Vatican Tapes	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$13,000,000	427	427	972	$832,271	$1,784,763	$1,784,763	$11,201,426	$12,986,189
34	Jul 10, 2015	Jul 9, 2015	2015	2015	The Gallows	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	$100,000	2,720	2,720	7,593	$9,808,463	$22,764,410	$22,764,410	$18,989,471	$41,753,881
35	Jun 5, 2015	Jun 4, 2015	2015	2015	Insidious Chapter 3	Focus Features	Horror	Original Screenplay	Live Action	Fantasy	$10,000,000	3,002	3,014	11,369	$22,692,741	$52,218,558	$52,218,558	$68,459,886	$120,678,444
36	May 22, 2015	May 20, 2015	2015	2015	Poltergeist	20th Century Fox	Horror	Remake	Live Action	Fantasy	$35,000,000	3,240	3,242	10,626	$22,620,386	$47,425,125	$47,425,125	$48,400,000	$95,825,125
37	Apr 21, 2015	Apr 21, 2015	2015	2015	Ten		Horror	Original Screenplay	Live Action	Fantasy	$25,000	0	0	0	$0	$0	$0	$0	$0
38	Apr 17, 2015	Apr 17, 2015	2015	2015	Unfriended	Universal	Horror	Original Screenplay	Live Action	Fantasy	$1,000,000	2,739	2,775	10,332	$15,845,115	$32,482,090	$32,482,090	$30,079,359	$62,561,449
39	Mar 13, 2015	Feb 27, 2015	2015	2015	It Follows	RADiUS-TWC	Horror	Original Screenplay	Live Action	Fantasy	$2,000,000	4	1,655	6,447	$160,089	$14,674,077	$14,674,077	$5,975,697	$20,649,774
40	Mar 10, 2015	Mar 10, 2015	2015	2015	Teeth and Blood		Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	$300,000	0	0	0	$0	$0	$0	$0	$0
41	Feb 27, 2015	Feb 26, 2015	2015	2015	The Lazarus Effect	Lionsgate	Horror	Original Screenplay	Live Action	Science Fiction	$5,000,000	2,666	2,666	10,356	$10,203,437	$25,801,570	$25,801,570	$9,540,244	$35,341,814
42	Feb 13, 2015	Feb 13, 2015	2015	2015	Girlhouse	Entertainment One	Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,500,000	0	0	0	$0	$0	$0	$0	$0
43	Feb 10, 2015	Feb 10, 2015	2015	2015	Fear Clinic		Horror	Original Screenplay	Live Action	Science Fiction	$1,000,000	0	0	0	$0	$0	$0	$0	$0
44	Feb 3, 2015	Feb 3, 2015	2015	2015	Bleeding Hearts		Horror	Original Screenplay	Live Action	Contemporary Fiction	$1,200,000	0	0	0	$0	$0	$0	$0	$0
45	Dec 31, 2014	Dec 31, 2014	2014	2014	House at the End of the Drive		Horror	Original Screenplay	Live Action	Fantasy	$1,400,000	0	0	0	$0	$0	$0	$0	$0
46	Dec 31, 2014	Mar 19, 2015	2014	2015	Demonic		Horror	Original Screenplay	Live Action	Fantasy	$3,000,000	0	0	0	$0	$0	$0	$4,668,109	$4,668,109
47	Nov 14, 2014	Nov 14, 2014	2014	2014	Wolves	Ketchup Entertainment	Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	$18,000,000	0	0	0	$0	$0	$0	$0	$0
48	Oct 24, 2014	Oct 24, 2014	2014	2014	Ouija	Universal	Horror	Based on Game	Live Action	Fantasy	$5,000,000	2,858	2,899	13,220	$19,875,995	$50,856,010	$52,474,432	$52,827,332	$103,683,342
49	Oct 3, 2014	Oct 3, 2014	2014	2014	Annabelle	Warner Bros.	Horror	Spin-Off	Live Action	Fantasy	$6,500,000	3,185	3,215	15,066	$37,134,255	$84,273,813	$86,955,720	$172,600,000	$256,873,813
50	Sep 19, 2014	Sep 19, 2014	2014	2014	Tusk	A24	Horror	Original Screenplay	Live Action	Contemporary Fiction	$3,000,000	602	602	1,221	$846,831	$1,821,983	$1,879,957	$0	$1,821,983
51	Jul 2, 2014	Jul 2, 2014	2014	2014	Deliver Us from Evil	Sony Pictures	Horror	Based on Factual Book/Article	Live Action	Fantasy	$30,000,000	3,049	3,049	8,051	$9,740,471	$30,577,122	$31,550,194	$57,379,496	$87,956,618
52	Apr 11, 2014	Apr 11, 2014	2014	2014	Oculus	Relativity	Horror	Original Screenplay	Live Action	Fantasy	$5,000,000	2,648	2,648	8,894	$12,005,402	$27,695,246	$28,576,604	$16,420,250	$44,115,496
53	Feb 7, 2014	Feb 7, 2014	2014	2014	Nurse 3D	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,000,000	0	0	0	$0	$0	$0	$0	$0
54	Jan 17, 2014	Jan 17, 2014	2014	2014	Devil's Due	20th Century Fox	Horror	Original Screenplay	Live Action	Fantasy	$7,000,000	2,544	2,544	7,059	$8,308,220	$15,821,461	$16,324,956	$20,324,626	$36,146,087
55	Jan 3, 2014	Jan 3, 2014	2014	2014	Paranormal Activity: The Marked Ones	Paramount Pictures	Horror	Spin-Off	Live Action	Fantasy	$5,000,000	2,867	2,883	8,161	$18,343,611	$32,462,372	$33,588,559	$53,900,000	$86,362,372
56	Dec 31, 2013	Dec 31, 2013	2013	2013	Living Dark: The Story of Ted the Caver		Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	$1,750,000	0	0	0	$0	$0	$0	$0	$0
57	Dec 31, 2013	Dec 3, 2015	2013	2015	Speak No Evil		Horror	Original Screenplay	Live Action	Fantasy	$150,000	0	0	0	$0	$0	$0	$32,927	$32,927
58	Dec 31, 2013	Dec 31, 2013	2013	2013	Re-Kill		Horror	Original Screenplay	Live Action	Science Fiction	$9,500,000	0	0	0	$0	$0	$0	$0	$0
59	Dec 31, 2013	Dec 31, 2013	2013	2013	The Vatican Exorcisms		Horror	Original Screenplay	Live Action	Fantasy	$1,100,000	0	0	0	$0	$0	$0	$0	$0
60	Dec 31, 2013	Dec 31, 2013	2013	2013	The Wicked Within		Horror	Original Screenplay	Live Action	Fantasy	$1,200,000	0	0	0	$0	$0	$0	$0	$0
61	Oct 25, 2013	Oct 25, 2013	2013	2013	Her Cry: La Llorona Investigation		Horror	Original Screenplay	Live Action	Fantasy	$35,000	0	0	0	$0	$0	$0	$0	$0
62	Oct 18, 2013	Oct 18, 2013	2013	2013	Carrie	Sony Pictures	Horror	Remake	Live Action	Fantasy	$30,000,000	3,157	3,157	11,221	$16,101,552	$35,266,619	$36,567,966	$47,142,901	$82,409,520
