Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
34	Jul 10 2015	Jul 9 2015	2015	2015	The Gallows	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	100000	2720	2720	7593	9808463	22764410	22764410	18989471	41753881
35	Jun 5 2015	Jun 4 2015	2015	2015	Insidious Chapter 3	Focus Features	Horror	Original Screenplay	Live Action	Fantasy	10000000	3002	3014	11369	22692741	52218558	52218558	68459886	120678444
36	May 22 2015	May 20 2015	2015	2015	Poltergeist	20th Century Fox	Horror	Remake	Live Action	Fantasy	35000000	3240	3242	10626	22620386	47425125	47425125	48400000	95825125
37	Apr 21 2015	Apr 21 2015	2015	2015	Ten		Horror	Original Screenplay	Live Action	Fantasy	25000	0	0	0	0	0	0	0	0
38	Apr 17 2015	Apr 17 2015	2015	2015	Unfriended	Universal	Horror	Original Screenplay	Live Action	Fantasy	1000000	2739	2775	10332	15845115	32482090	32482090	30079359	62561449
39	Mar 13 2015	Feb 27 2015	2015	2015	It Follows	RADiUS-TWC	Horror	Original Screenplay	Live Action	Fantasy	2000000	4	1655	6447	160089	14674077	14674077	5975697	20649774
40	Mar 10 2015	Mar 10 2015	2015	2015	Teeth and Blood		Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	300000	0	0	0	0	0	0	0	0
41	Feb 27 2015	Feb 26 2015	2015	2015	The Lazarus Effect	Lionsgate	Horror	Original Screenplay	Live Action	Science Fiction	5000000	2666	2666	10356	10203437	25801570	25801570	9540244	35341814
42	Feb 13 2015	Feb 13 2015	2015	2015	Girlhouse	Entertainment One	Horror	Original Screenplay	Live Action	Contemporary Fiction	1500000	0	0	0	0	0	0	0	0
43	Feb 10 2015	Feb 10 2015	2015	2015	Fear Clinic		Horror	Original Screenplay	Live Action	Science Fiction	1000000	0	0	0	0	0	0	0	0
44	Feb 3 2015	Feb 3 2015	2015	2015	Bleeding Hearts		Horror	Original Screenplay	Live Action	Contemporary Fiction	1200000	0	0	0	0	0	0	0	0
45	Dec 31 2014	Dec 31 2014	2014	2014	House at the End of the Drive		Horror	Original Screenplay	Live Action	Fantasy	1400000	0	0	0	0	0	0	0	0
46	Dec 31 2014	Mar 19 2015	2014	2015	Demonic		Horror	Original Screenplay	Live Action	Fantasy	3000000	0	0	0	0	0	0	4668109	4668109
47	Nov 14 2014	Nov 14 2014	2014	2014	Wolves	Ketchup Entertainment	Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	18000000	0	0	0	0	0	0	0	0
48	Oct 24 2014	Oct 24 2014	2014	2014	Ouija	Universal	Horror	Based on Game	Live Action	Fantasy	5000000	2858	2899	13220	19875995	50856010	52474432	52827332	103683342
49	Oct 3 2014	Oct 3 2014	2014	2014	Annabelle	Warner Bros.	Horror	Spin-Off	Live Action	Fantasy	6500000	3185	3215	15066	37134255	84273813	86955720	172600000	256873813
50	Sep 19 2014	Sep 19 2014	2014	2014	Tusk	A24	Horror	Original Screenplay	Live Action	Contemporary Fiction	3000000	602	602	1221	846831	1821983	1879957	0	1821983
51	Jul 2 2014	Jul 2 2014	2014	2014	Deliver Us from Evil	Sony Pictures	Horror	Based on Factual Book/Article	Live Action	Fantasy	30000000	3049	3049	8051	9740471	30577122	31550194	57379496	87956618
52	Apr 11 2014	Apr 11 2014	2014	2014	Oculus	Relativity	Horror	Original Screenplay	Live Action	Fantasy	5000000	2648	2648	8894	12005402	27695246	28576604	16420250	44115496
53	Feb 7 2014	Feb 7 2014	2014	2014	Nurse 3D	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	10000000	0	0	0	0	0	0	0	0
54	Jan 17 2014	Jan 17 2014	2014	2014	Devil's Due	20th Century Fox	Horror	Original Screenplay	Live Action	Fantasy	7000000	2544	2544	7059	8308220	15821461	16324956	20324626	36146087
55	Jan 3 2014	Jan 3 2014	2014	2014	Paranormal Activity: The Marked Ones	Paramount Pictures	Horror	Spin-Off	Live Action	Fantasy	5000000	2867	2883	8161	18343611	32462372	33588559	53900000	86362372
56	Dec 31 2013	Dec 31 2013	2013	2013	Living Dark: The Story of Ted the Caver		Horror	Based on Folk Tale/Legend/Fairytale	Live Action	Fantasy	1750000	0	0	0	0	0	0	0	0
57	Dec 31 2013	Dec 3 2015	2013	2015	Speak No Evil		Horror	Original Screenplay	Live Action	Fantasy	150000	0	0	0	0	0	0	32927	32927
58	Dec 31 2013	Dec 31 2013	2013	2013	Re-Kill		Horror	Original Screenplay	Live Action	Science Fiction	9500000	0	0	0	0	0	0	0	0
59	Dec 31 2013	Dec 31 2013	2013	2013	The Vatican Exorcisms		Horror	Original Screenplay	Live Action	Fantasy	1100000	0	0	0	0	0	0	0	0
60	Dec 31 2013	Dec 31 2013	2013	2013	The Wicked Within		Horror	Original Screenplay	Live Action	Fantasy	1200000	0	0	0	0	0	0	0	0
61	Oct 25 2013	Oct 25 2013	2013	2013	Her Cry: La Llorona Investigation		Horror	Original Screenplay	Live Action	Fantasy	35000	0	0	0	0	0	0	0	0
62	Oct 18 2013	Oct 18 2013	2013	2013	Carrie	Sony Pictures	Horror	Remake	Live Action	Fantasy	30000000	3157	3157	11221	16101552	35266619	36567966	47142901	82409520
63	Oct 11 2013	Oct 11 2013	2013	2013	All the Boys Love Mandy Lane	Radius	Horror	Original Screenplay	Live Action	Contemporary Fiction	750000	0	0	0	0	0	0	1960521	1960521
64	Sep 13 2013	Sep 13 2013	2013	2013	Insidious Chapter 2	FilmDistrict	Horror	Original Screenplay	Live Action	Fantasy	5000000	3049	3155	18494	40272103	83586447	86670811	78335068	161921515
65	Jul 23 2013	Jun 21 2012	2013	2012	Twixt		Horror	Based on Real Life Events	Live Action	Fantasy	7000000	0	0	0	0	0	0	1268346	1268346
66	Jul 19 2013	Jul 19 2013	2013	2013	The Conjuring	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	20000000	2903	3115	18800	41855326	137400141	142470254	180600000	318000141
67	Apr 19 2013	Apr 19 2013	2013	2013	The Lords of Salem	Anchor Bay Entertainment	Horror	Original Screenplay	Live Action	Fantasy	1500000	355	355	700	642942	1165881	1208896	375250	1541131
68	Apr 5 2013	Apr 3 2013	2013	2013	Evil Dead	Sony Pictures	Horror	Remake	Live Action	Fantasy	17000000	3025	3025	12938	25775847	54239856	56241327	43538500	97778356
69	Mar 1 2013	Mar 1 2013	2013	2013	The Last Exorcism Part II	CBS Films	Horror	Original Screenplay	Live Action	Fantasy	4000000	2700	2700	7532	7728354	15179303	15739417	10269404	25448707
70	Feb 1 2013	Feb 1 2013	2013	2013	A Haunting in Connecticut 2: The Ghos…	Lionsgate	Horror	Original Screenplay	Live Action	Science Fiction	9000000	0	0	0	0	0	0	0	0
71	Jan 18 2013	Jan 17 2013	2013	2013	Mama	Universal	Horror	Based on Short Film	Live Action	Fantasy	15000000	2647	2781	14716	28402310	71628180	74271284	76467386	148095566
72	Jan 4 2013	Jan 4 2013	2013	2013	Texas Chainsaw 3D	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	20000000	2654	2659	7518	21744470	34341945	36090693	13324068	47666013
73	Dec 31 2012	Dec 31 2012	2012	2012	The Helpers		Horror	Original Screenplay	Live Action	Contemporary Fiction	4000000	0	0	0	0	0	0	0	0
74	Dec 31 2012	Dec 31 2012	2012	2012	Hayride		Horror	Original Screenplay	Live Action	Contemporary Fiction	60000	0	0	0	0	0	0	0	0
75	Dec 31 2012	Dec 31 2012	2012	2012	Infected		Horror	Original Screenplay	Live Action	Science Fiction	2100000	0	0	0	0	0	0	0	0
76	Nov 30 2012	Nov 29 2012	2012	2012	The Collection	LD Distribution	Horror	Original Screenplay	Live Action	Contemporary Fiction	10000000	1403	1403	3539	3104269	6810754	7212893	2079340	8890094
77	Oct 26 2012	Oct 26 2012	2012	2012	Silent Hill: Revelation 3D	Open Road	Horror	Based on Game	Live Action	Fantasy	20000000	2933	2933	8659	8023036	17530219	18565288	38445453	55975672
78	Oct 19 2012	Oct 17 2012	2012	2012	Paranormal Activity 4	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	5000000	3412	3412	13511	29003866	53900335	57082885	86719185	140619520
79	Oct 9 2012	Oct 9 2012	2012	2012	Truth or Die		Horror	Original Screenplay	Live Action	Contemporary Fiction	1000000	0	0	0	0	0	0	0	0
80	Sep 21 2012	Sep 21 2012	2012	2012	House at the End of the Street	Relativity	Horror	Based on Fiction Book/Short Story	Live Action	Contemporary Fiction	6900000	3083	3083	12536	12287234	31611916	33478447	12492066	44103982
81	Sep 14 2012	Sep 14 2012	2012	2012	Airborne	Image Entertainment	Horror	Original Screenplay	Live Action	Fantasy	1200000	0	0	0	0	0	0	0	0
82	Sep 7 2012	Sep 7 2012	2012	2012	Crowsnest	IFC Midnight	Horror	Original Screenplay	Live Action	Contemporary Fiction	1200000	0	0	0	0	0	0	0	0
83	Aug 31 2012	Aug 31 2012	2012	2012	The Possession	Lionsgate	Horror	Original Screenplay	Live Action	Fantasy	14000000	2816	2860	14488	17732480	49130588	52031511	33794476	82925064
84	Aug 24 2012	Aug 23 2012	2012	2012	The Apparition	Warner Bros.	Horror	Original Screenplay	Live Action	Contemporary Fiction	17000000	810	810	2636	2841488	4936819	5228311	5700462	10637281
85	Aug 17 2012	Aug 17 2012	2012	2012	The Awakening	Cohen Media Group	Horror	Original Screenplay	Live Action	Fantasy	4900000	70	70	70	95933	95933	101590	6828388	6924321
86	Jul 17 2012	Jul 17 2012	2012	2012	Girls Gone Dead		Horror	Original Screenplay	Live Action	Contemporary Fiction	500000	0	0	0	0	0	0	0	0
87	Jun 22 2012	Jun 20 2012	2012	2012	Abraham Lincoln: Vampire Hunter	20th Century Fox	Horror	Based on Fiction Book/Short Story	Live Action	Fantasy	67500000	3108	3109	9577	16306974	37519139	39734459	99970591	137489730
88	Jun 1 2012	Jun 1 2012	2012	2012	The Loved Ones	Paramount Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	4000000	0	0	0	0	0	0	12302	12302
89	May 25 2012	May 24 2012	2012	2012	Chernobyl Diaries	Warner Bros.	Horror	Original Screenplay	Live Action	Science Fiction	1000000	2433	2433	6747	7955307	18119640	19189512	24292081	42411721
90	Mar 20 2012	Mar 20 2012	2012	2012	Snow White: A Deadly Summer		Horror	Original Screenplay	Live Action	Contemporary Fiction	1000000	0	0	0	0	0	0	0	0
91	Mar 9 2012	Mar 9 2012	2012	2012	Silent House	Open Road	Horror	Remake	Live Action	Fantasy	2000000	2124	2124	6148	6660234	12739737	13491954	3871023	16610760
92	Feb 3 2012	Feb 3 2012	2012	2012	Kill List	IFC Films	Horror	Original Screenplay	Live Action	Contemporary Fiction	800000	2	10	20	9838	29063	30778	433143	462206
93	Feb 3 2012	Feb 3 2012	2012	2012	The Innkeepers	Magnolia Pictures	Horror	Original Screenplay	Live Action	Fantasy	750000	20	20	45	29557	78396	83019	933139	1011535
94	Jan 6 2012	Jan 6 2012	2012	2012	The Devil Inside	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	1000000	2285	2551	8326	33732515	53261944	56406799	48496545	101758489
1	Dec 31 2011	Apr 11 2013	2011	2013	Absentia		Horror				70000	0	0	0	0	0	0	8555	8555
2	Nov 25 2011	Nov 25 2011	2011	2011	The Ridges		Horror	Original Screenplay	Live Action	Fantasy	17300	0	0	0	0	0	0	0	0
3	Oct 21 2011	Oct 21 2011	2011	2011	Paranormal Activity 3	Paramount Pictures	Horror	Original Screenplay	Live Action	Fantasy	5000000	3321	3329	15480	52568183	104028807	110587910	98024579	202053386
4	Oct 14 2011	Oct 14 2011	2011	2011	The Thing	Universal	Horror	Remake	Live Action	Fantasy	38000000	2996	2997	7910	8493665	16928670	18071813	10573144	27501814
5	Sep 30 2011	Sep 30 2011	2011	2011	Dream House	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	50000000	2661	2664	9808	8129355	21302340	22645492	20339826	41642166
6	Sep 9 2011	Sep 9 2011	2011	2011	Grave Encounters	TriBeca Films	Horror	Original Screenplay	Live Action	Contemporary Fiction	2000000	0	0	0	0	0	0	2151887	2151887
7	Sep 9 2011	Sep 9 2011	2011	2011	Creature	The Bubble Factory	Horror	Original Screenplay	Live Action	Fantasy	3000000	1507	1507	1507	327000	331000	351868	0	331000
8	Sep 2 2011	Sep 2 2011	2011	2011	Shark Night 3D	Relativity	Horror	Original Screenplay	Live Action	Contemporary Fiction	25000000	2806	2848	9217	8404260	18877153	20067387	13332588	32209741
9	Aug 26 2011	Aug 26 2011	2011	2011	Don't Be Afraid of the Dark	FilmDistrict	Horror	Remake	Live Action	Contemporary Fiction	25000000	2760	2780	10171	8525728	24046682	25562862	15079745	39126427
10	Aug 19 2011	Aug 19 2011	2011	2011	Fright Night	Walt Disney	Horror	Remake	Live Action	Contemporary Fiction	30000000	3114	3114	8637	8114388	18298649	19452402	22222000	40520649
11	Aug 12 2011	Aug 12 2011	2011	2011	Final Destination 5	Warner Bros.	Horror	Original Screenplay	Live Action	Fantasy	40000000	3155	3155	11037	18031396	42587643	45272868	112423522	155011165
12	Jun 28 2011	Jun 28 2011	2011	2011	2:13		Horror				3500000	0	0	0	0	0	0	0	0
13	Jun 10 2011	Jun 10 2011	2011	2011	Trolljegeren	Magnet Pictures	Horror	Original Screenplay	Live Action	Fantasy	3500000	1	21	156	5585	253444	269423	5453194	5706638
14	May 24 2011	May 24 2011	2011	2011	Forget Me Not		Horror	Original Screenplay	Live Action	Fantasy	1300000	0	0	0	0	0	0	13465	13465
15	May 13 2011	May 13 2011	2011	2011	Priest	Sony Pictures	Horror	Based on Comic/Graphic Novel	Live Action	Fantasy	60000000	2864	2864	8469	14953664	29136626	30973734	55017400	84154026
16	Apr 29 2011	Apr 29 2011	2011	2011	Dylan Dog: Dead of Night	Omin/Freestyle	Horror	Based on Comic/Graphic Novel	Live Action	Fantasy	20000000	875	875	1373	754779	1186538	1261347	4907187	6093725
